iter	Passed	Remaining
953	3133	134
954	3136	131
955	3139	128
956	3142	124
957	3146	121
958	3149	118
959	3152	114
960	3155	111
961	3159	108
962	3162	105
963	3165	101
964	3168	98
965	3172	95
966	3175	91
967	3178	88
968	3181	85
969	3185	82
970	3188	78
971	3191	75
972	3195	72
973	3198	68
974	3201	65
975	3204	62
976	3207	59
977	3211	55
978	3214	52
979	3218	49
980	3221	45
981	3225	42
982	3228	39
983	3231	36
984	3234	32
985	3238	29
986	3241	26
987	3244	22
988	3249	19
989	3252	16
990	3255	13
991	3258	9
992	3262	6
993	3265	3
994	3269	0
