iter	RMSE
366	0.3680209695
367	0.36763482
368	0.3671586133
369	0.3666701971
370	0.3664299711
371	0.3663124566
372	0.3657536813
373	0.3653086247
374	0.3648046681
375	0.3644251895
376	0.3639220814
377	0.3635243608
378	0.3630413524
379	0.3623965428
380	0.3619915381
381	0.3616645694
382	0.3614541383
383	0.3610387198
384	0.3606440971
385	0.3604056173
386	0.3601778127
387	0.3597167425
388	0.3594024839
389	0.3591343336
390	0.3585936208
391	0.3581011333
392	0.3579480523
393	0.3576089971
394	0.3573396792
395	0.3570375166
396	0.3566257923
397	0.3562875118
398	0.3560970585
399	0.355787586
400	0.3555930734
401	0.3552728568
402	0.3550898166
403	0.3545931317
404	0.3542921115
405	0.3538520144
406	0.3535485289
407	0.3530922822
408	0.3527091956
409	0.3520145302
410	0.3517356154
411	0.3512543747
412	0.3508586449
413	0.3504305813
414	0.3499887744
415	0.3497982256
416	0.3494647259
417	0.3490785265
418	0.348761515
419	0.3483682269
420	0.3481787994
421	0.3476748309
422	0.3473345924
423	0.3470080188
424	0.3466552035
425	0.3465193978
426	0.3463026
427	0.3458005147
428	0.3454539384
429	0.344905485
430	0.3446752913
431	0.3441513419
432	0.3437380029
433	0.3435115142
434	0.3431780482
435	0.3429953942
436	0.3425370942
437	0.342278724
438	0.3417486646
439	0.3414069759
440	0.3411016358
441	0.3409136118
442	0.3405803792
443	0.3402974604
444	0.3400293193
445	0.3398930185
446	0.3393689929
447	0.3391842772
448	0.3389453818
449	0.3385848447
450	0.3384409841
451	0.3381996219
452	0.3378853481
453	0.3376294115
454	0.3373934086
455	0.3369454266
456	0.3367873853
457	0.3366281969
458	0.3361617728
459	0.3357580594
460	0.3355325469
461	0.3353530667
462	0.3350295083
463	0.3346679075
464	0.3343675984
465	0.33390863
466	0.3336237912
467	0.3334670754
468	0.3331806682
469	0.3328667292
470	0.3327070671
471	0.3323777987
472	0.3321547077
473	0.3320399938
474	0.3315968607
475	0.3312036561
476	0.3310254569
477	0.3306447063
478	0.330325244
479	0.3301849671
480	0.3297988138
481	0.3295921892
482	0.3291741867
483	0.328861515
484	0.3285744971
485	0.3281737948
486	0.3279016871
487	0.3275810193
488	0.3273477019
489	0.3271883518
490	0.3269549806
491	0.3266417477
492	0.3264382243
493	0.3258913253
494	0.325487271
495	0.3251807663
496	0.3249097534
497	0.3247300945
498	0.3244592401
499	0.3242297864
500	0.3240650972
501	0.3237505766
502	0.3234791535
503	0.3230733499
504	0.3226631998
505	0.3224056914
506	0.3221235051
507	0.3218916445
508	0.3214531944
509	0.3211271571
510	0.3209410371
511	0.3208044379
512	0.3206590845
513	0.3203489711
514	0.3200403766
515	0.3198011067
516	0.3193206323
517	0.3191460084
518	0.318837928
519	0.3186619979
520	0.3184058656
521	0.3181807147
522	0.3178129125
523	0.3175289928
524	0.3173159808
525	0.3170764594
526	0.3166979449
527	0.3164400069
528	0.3162680749
529	0.3160681601
530	0.3156779212
531	0.3155541672
532	0.3153018905
533	0.3150049854
534	0.3146945435
535	0.3144394377
536	0.3142466204
537	0.3137534953
538	0.3134106498
539	0.3131694998
540	0.3128179385
541	0.3124357433
542	0.3122486869
543	0.3120665482
544	0.3115666271
545	0.3113091134
546	0.3108774919
547	0.3105738659
548	0.3101397146
549	0.3099462837
550	0.3097365885
551	0.3095542368
552	0.309335998
553	0.3090102171
554	0.3087786946
555	0.308633484
556	0.3082760373
557	0.3078702582
558	0.3076935672
559	0.3073557839
560	0.3071108517
561	0.3068456023
562	0.30664583
563	0.3064696249
564	0.3062891627
565	0.3061446121
566	0.3059708502
567	0.305664374
568	0.3054552725
569	0.3052484508
570	0.3050321832
571	0.3048628385
572	0.3045149046
573	0.3042667817
574	0.304054497
575	0.3036903429
576	0.3034992423
577	0.3030309806
578	0.3029225219
579	0.3027235775
580	0.3024799614
581	0.3022157386
582	0.3020072045
583	0.3018048732
584	0.3015704306
585	0.3014070566
586	0.3011728132
587	0.3008620858
588	0.3005879565
589	0.3004379154
590	0.3001035802
591	0.2997172815
592	0.2992592715
593	0.2987963868
594	0.2985246992
595	0.2983006805
596	0.2980370553
597	0.2976332411
598	0.2972759319
599	0.2970993387
600	0.2968307995
601	0.2965983124
602	0.2963326666
603	0.2960527096
604	0.2957244218
605	0.2955011712
606	0.2952741175
607	0.2949440346
608	0.2945422275
609	0.2940922598
610	0.2938440441
611	0.2936415784
612	0.2934753444
613	0.2933425511
614	0.2932097674
615	0.2930014847
616	0.2929057208
617	0.2928202539
618	0.2926803281
619	0.2925339611
620	0.2922662363
621	0.2921637542
622	0.2919898064
623	0.2918830594
624	0.2916778511
625	0.2915343475
626	0.29132274
627	0.2911693238
628	0.2908138215
629	0.2905271752
630	0.2902534346
631	0.2900516037
632	0.2897690445
633	0.289610297
634	0.2892851858
635	0.2890821466
636	0.2887845892
637	0.2885070645
638	0.288286346
639	0.2881401344
640	0.2879533574
641	0.2876070217
642	0.2874242125
643	0.2871620933
644	0.2869933108
645	0.286627715
646	0.2863284963
